model,pk,name,group
recipes.groceryitem,160,soy sauce,16
recipes.groceryitem,161,"stock, powder chicken",16
recipes.groceryitem,162,"stock, vegetable",16
recipes.groceryitem,163,tahini paste,16
recipes.groceryitem,164,"vinegar, balsamic",16
recipes.groceryitem,165,all spice,17
recipes.groceryitem,166,"cinnamon, ground",17
recipes.groceryitem,167,"coriander, ground",17
recipes.groceryitem,168,cumin,17
recipes.groceryitem,169,nutmeg,17
recipes.groceryitem,170,"pepper, whole",17
recipes.groceryitem,171,poppy seed,17
recipes.groceryitem,172,salt,17
recipes.groceryitem,173,turmeric,17
recipes.groceryitem,174,"water, tap",11
